Start date,End date,grid load [MWh],,,
"Jan 16, 2025 6:00 AM","Jan 16, 2025 7:00 AM","62,133.75",,,
"Jan 16, 2025 7:00 AM","Jan 16, 2025 8:00 AM","67,709.25",,,
"Jan 16, 2025 8:00 AM","Jan 16, 2025 9:00 AM","70,836.50",,,
"Jan 16, 2025 9:00 AM","Jan 16, 2025 10:00 AM","71,614.00",,,
"Jan 16, 2025 10:00 AM","Jan 16, 2025 11:00 AM","72,467.25",,,
"Jan 16, 2025 11:00 AM","Jan 16, 2025 12:00 PM","72,597.50",,,
"Jan 16, 2025 12:00 PM","Jan 16, 2025 1:00 PM","72,175.00",,,
"Jan 16, 2025 1:00 PM","Jan 16, 2025 2:00 PM","71,506.25",,,
"Jan 16, 2025 2:00 PM","Jan 16, 2025 3:00 PM","69,518.00",,,
"Jan 16, 2025 3:00 PM","Jan 16, 2025 4:00 PM","68,983.75",,,
"Jan 16, 2025 4:00 PM","Jan 16, 2025 5:00 PM","69,422.75",,,
"Jan 16, 2025 5:00 PM","Jan 16, 2025 6:00 PM","71,383.25",,,
"Jan 16, 2025 6:00 PM","Jan 16, 2025 7:00 PM","70,898.25",,,
"Jan 16, 2025 7:00 PM","Jan 16, 2025 8:00 PM","69,245.75",,,
"Jan 16, 2025 8:00 PM","Jan 16, 2025 9:00 PM","65,945.25",,,
"Jan 16, 2025 9:00 PM","Jan 16, 2025 10:00 PM","62,693.75",,,
"Jan 16, 2025 10:00 PM","Jan 16, 2025 11:00 PM","60,109.50",,,
"Jan 16, 2025 11:00 PM","Jan 17, 2025 12:00 AM","56,571.00",,,
"Jan 17, 2025 12:00 AM","Jan 17, 2025 1:00 AM","54,421.00",,,
"Jan 17, 2025 1:00 AM","Jan 17, 2025 2:00 AM","52,322.00",,,
"Jan 17, 2025 2:00 AM","Jan 17, 2025 3:00 AM","50,946.75",,,
"Jan 17, 2025 3:00 AM","Jan 17, 2025 4:00 AM","51,229.75",,,
"Jan 17, 2025 4:00 AM","Jan 17, 2025 5:00 AM","52,424.00",,,
"Jan 17, 2025 5:00 AM","Jan 17, 2025 6:00 AM","55,509.25",,,
"Jan 17, 2025 6:00 AM","Jan 17, 2025 7:00 AM","62,896.75",,,
"Jan 17, 2025 7:00 AM","Jan 17, 2025 8:00 AM","68,721.00",,,
"Jan 17, 2025 8:00 AM","Jan 17, 2025 9:00 AM","71,647.00",,,
"Jan 17, 2025 9:00 AM","Jan 17, 2025 10:00 AM","72,577.50",,,
"Jan 17, 2025 10:00 AM","Jan 17, 2025 11:00 AM","72,997.00",,,
"Jan 17, 2025 11:00 AM","Jan 17, 2025 12:00 PM","73,281.25",,,
"Jan 17, 2025 12:00 PM","Jan 17, 2025 1:00 PM","72,745.50",,,
"Jan 17, 2025 1:00 PM","Jan 17, 2025 2:00 PM","71,036.75",,,
"Jan 17, 2025 2:00 PM","Jan 17, 2025 3:00 PM","69,682.00",,,
"Jan 17, 2025 3:00 PM","Jan 17, 2025 4:00 PM","68,649.75",,,
"Jan 17, 2025 4:00 PM","Jan 17, 2025 5:00 PM","68,856.25",,,
"Jan 17, 2025 5:00 PM","Jan 17, 2025 6:00 PM","70,763.25",,,
"Jan 17, 2025 6:00 PM","Jan 17, 2025 7:00 PM","69,958.50",,,
"Jan 17, 2025 7:00 PM","Jan 17, 2025 8:00 PM","67,648.00",,,
"Jan 17, 2025 8:00 PM","Jan 17, 2025 9:00 PM","63,967.50",,,
"Jan 17, 2025 9:00 PM","Jan 17, 2025 10:00 PM","60,886.50",,,
"Jan 17, 2025 10:00 PM","Jan 17, 2025 11:00 PM","57,915.75",,,
"Jan 17, 2025 11:00 PM","Jan 18, 2025 12:00 AM","55,379.75",,,
"Jan 18, 2025 12:00 AM","Jan 18, 2025 1:00 AM","52,411.75",,,
"Jan 18, 2025 1:00 AM","Jan 18, 2025 2:00 AM","49,812.25",,,
"Jan 18, 2025 2:00 AM","Jan 18, 2025 3:00 AM","48,727.25",,,
"Jan 18, 2025 3:00 AM","Jan 18, 2025 4:00 AM","48,192.25",,,
"Jan 18, 2025 4:00 AM","Jan 18, 2025 5:00 AM","48,184.25",,,
"Jan 18, 2025 5:00 AM","Jan 18, 2025 6:00 AM","48,297.50",,,
"Jan 18, 2025 6:00 AM","Jan 18, 2025 7:00 AM","49,497.50",,,
"Jan 18, 2025 7:00 AM","Jan 18, 2025 8:00 AM","52,166.25",,,
"Jan 18, 2025 8:00 AM","Jan 18, 2025 9:00 AM","56,140.75",,,
"Jan 18, 2025 9:00 AM","Jan 18, 2025 10:00 AM","59,382.00",,,
"Jan 18, 2025 10:00 AM","Jan 18, 2025 11:00 AM","61,436.25",,,
"Jan 18, 2025 11:00 AM","Jan 18, 2025 12:00 PM","62,182.00",,,
"Jan 18, 2025 12:00 PM","Jan 18, 2025 1:00 PM","61,839.75",,,
"Jan 18, 2025 1:00 PM","Jan 18, 2025 2:00 PM","60,049.25",,,
"Jan 18, 2025 2:00 PM","Jan 18, 2025 3:00 PM","58,182.25",,,
"Jan 18, 2025 3:00 PM","Jan 18, 2025 4:00 PM","57,534.75",,,
"Jan 18, 2025 4:00 PM","Jan 18, 2025 5:00 PM","58,202.50",,,
"Jan 18, 2025 5:00 PM","Jan 18, 2025 6:00 PM","61,167.50",,,
"Jan 18, 2025 6:00 PM","Jan 18, 2025 7:00 PM","62,135.25",,,
"Jan 18, 2025 7:00 PM","Jan 18, 2025 8:00 PM","59,977.25",,,
"Jan 18, 2025 8:00 PM","Jan 18, 2025 9:00 PM","56,923.75",,,
"Jan 18, 2025 9:00 PM","Jan 18, 2025 10:00 PM","54,842.50",,,
"Jan 18, 2025 10:00 PM","Jan 18, 2025 11:00 PM","53,702.75",,,
"Jan 18, 2025 11:00 PM","Jan 19, 2025 12:00 AM","51,511.50",,,
"Jan 19, 2025 12:00 AM","Jan 19, 2025 1:00 AM","48,477.50",,,
"Jan 19, 2025 1:00 AM","Jan 19, 2025 2:00 AM","46,438.50",,,
"Jan 19, 2025 2:00 AM","Jan 19, 2025 3:00 AM","45,286.75",,,
"Jan 19, 2025 3:00 AM","Jan 19, 2025 4:00 AM","44,809.00",,,
"Jan 19, 2025 4:00 AM","Jan 19, 2025 5:00 AM","44,367.50",,,
"Jan 19, 2025 5:00 AM","Jan 19, 2025 6:00 AM","44,269.00",,,
"Jan 19, 2025 6:00 AM","Jan 19, 2025 7:00 AM","44,520.75",,,
"Jan 19, 2025 7:00 AM","Jan 19, 2025 8:00 AM","46,650.00",,,
"Jan 19, 2025 8:00 AM","Jan 19, 2025 9:00 AM","50,092.50",,,
"Jan 19, 2025 9:00 AM","Jan 19, 2025 10:00 AM","53,548.50",,,
"Jan 19, 2025 10:00 AM","Jan 19, 2025 11:00 AM","56,178.00",,,
"Jan 19, 2025 11:00 AM","Jan 19, 2025 12:00 PM","57,977.00",,,
"Jan 19, 2025 12:00 PM","Jan 19, 2025 1:00 PM","57,492.50",,,
"Jan 19, 2025 1:00 PM","Jan 19, 2025 2:00 PM","55,267.75",,,
"Jan 19, 2025 2:00 PM","Jan 19, 2025 3:00 PM","53,592.00",,,
"Jan 19, 2025 3:00 PM","Jan 19, 2025 4:00 PM","53,252.00",,,
"Jan 19, 2025 4:00 PM","Jan 19, 2025 5:00 PM","54,889.00",,,
"Jan 19, 2025 5:00 PM","Jan 19, 2025 6:00 PM","58,388.25",,,
"Jan 19, 2025 6:00 PM","Jan 19, 2025 7:00 PM","59,712.25",,,
"Jan 19, 2025 7:00 PM","Jan 19, 2025 8:00 PM","58,171.00",,,
"Jan 19, 2025 8:00 PM","Jan 19, 2025 9:00 PM","55,593.50",,,
"Jan 19, 2025 9:00 PM","Jan 19, 2025 10:00 PM","53,863.25",,,
"Jan 19, 2025 10:00 PM","Jan 19, 2025 11:00 PM","53,299.25",,,
"Jan 19, 2025 11:00 PM","Jan 20, 2025 12:00 AM","51,359.00",,,
"Jan 20, 2025 12:00 AM","Jan 20, 2025 1:00 AM","49,098.75",,,
"Jan 20, 2025 1:00 AM","Jan 20, 2025 2:00 AM","47,454.25",,,
"Jan 20, 2025 2:00 AM","Jan 20, 2025 3:00 AM","47,124.50",,,
"Jan 20, 2025 3:00 AM","Jan 20, 2025 4:00 AM","48,213.00",,,
"Jan 20, 2025 4:00 AM","Jan 20, 2025 5:00 AM","49,404.50",,,
"Jan 20, 2025 5:00 AM","Jan 20, 2025 6:00 AM","52,912.75",,,
"Jan 20, 2025 6:00 AM","Jan 20, 2025 7:00 AM","61,320.25",,,
"Jan 20, 2025 7:00 AM","Jan 20, 2025 8:00 AM","67,291.75",,,
"Jan 20, 2025 8:00 AM","Jan 20, 2025 9:00 AM","70,753.00",,,
